Title:,"Annual average concentrations of selected determinands of river water quality, by river location: ",,,,,,,,,,,,,,,,
SEPA East,TAY - PERTH (QUEENS BRIDGE)         ,1981,9.055555556,7.62,87.4,8.5,,11.353,,0.084444444,,2.39142834,9.28,36.75,,0.017625,
SEPA East,TAY - PERTH (QUEENS BRIDGE)         ,1982,10.05,7.31,81.6,8.4,,11.53555556,1.83,0.042222222,,2.43571405,7.8,29.16666667,,0.0123,
SEPA East,TAY - PERTH (QUEENS BRIDGE)         ,1983,10.09090909,7.290909091,79.55555556,3.363636364,,11.03454545,1.945454545,0.035090909,,1.694934901,7.227272727,28.63636364,,0.0136,
SEPA East,TAY - PERTH (QUEENS BRIDGE)         ,1984,10.8,7.16,92.55555556,6.4,,10.993,2.04,0.0181,,2.900714005,8.2,29,,0.017,
SEPA East,TAY - PERTH (QUEENS BRIDGE)         ,1985,9.05,7.41,88,5.7,,11.381,2.11,0.009125,,3.370634594,7.15,19.8,,0.028888889,
SEPA East,TAY - PERTH (QUEENS BRIDGE)         ,1986,7.7,7.24,95.2,20.62,,11.602,2.76,0.0124,,3.312571108,8.9,19,,0.0342,
SEPA East,TAY - PERTH (QUEENS BRIDGE)         ,1987,9.754545455,7.581818182,89.63636364,2.009090909,,11.051,1.809090909,0.016454545,,2.975194517,8.05,20.04545455,,0.013727273,
SEPA East,TAY - PERTH (QUEENS BRIDGE)         ,1988,9.42,7.46,80.7,6.86,,11.272,2.49,0.019,,3.471999664,6.777777778,18.7,,0.012625,
SEPA East,TAY - PERTH (QUEENS BRIDGE)         ,1989,10.23,7.76,77,3.44,,11.665,1.51,0.0206,,2.366825168,7.1,17.05,,0.0131,
SEPA East,TAY - PERTH (QUEENS BRIDGE)         ,1990,9.763636364,7.654545455,80.9,2.872727273,,11.339,1.4,0.021363636,,2.856428295,6.85,15.68,,0.028181818,
SEPA East,TAY - PERTH (QUEENS BRIDGE)         ,1991,8.99,7.51,76.90909091,5.01,,11.49272727,1.4,0.039818182,,2.286753025,6.509090909,15.43636364,,0.033681818,
SEPA East,TAY - PERTH (QUEENS BRIDGE)         ,1992,9.25,7.458333333,78.5,4.6,,11.64416667,1.733333333,0.061958333,,2.512207549,7.3,13.60833333,,0.026583333,
SEPA East,TAY - PERTH (QUEENS BRIDGE)         ,1993,9.083333333,7.583333333,113.3333333,3.772222222,,11.44666667,1.911111111,0.053823529,0.009916667,4.146618646,10.9,23.25882353,,0.047472222,
SEPA East,TAY - PERTH (QUEENS BRIDGE)         ,1994,9.158333333,7.616666667,83.75,6.1,,11.825,2.166666667,0.047458333,,2.830259466,8.633333333,16.96363636,,0.036458333,
SEPA East,TAY - PERTH (QUEENS BRIDGE)         ,1995,10.92857143,7.636363636,81.14285714,2.108333333,,11.53142857,1.6,0.056285714,,2.78999973,7.675,14.95833333,,0.023785714,
SEPA East,TAY - PERTH (QUEENS BRIDGE)         ,1996,9.709090909,7.77,92.54545455,3.016666667,,11.8,1.183333333,0.074545455,0.005,4.549350209,9.025,18.98333333,,0.030833333,
SEPA East,TAY - PERTH (QUEENS BRIDGE)         ,1997,4,7.65,,2.133333333,,11.21055556,1.444444444,0.074117647,0.009642857,,7.458823529,18.68125,,0.026666667,
SEPA East,TAY - PERTH (QUEENS BRIDGE)         ,1999,9.7125,7.50125,83,2.92375,,11.3175,1.273913043,0.049047619,0.005,2.856428295,7.5715,20.01578947,,0.021578947,
SEPA East,TAY - PERTH (QUEENS BRIDGE)         ,2000,10.68333333,7.38125,80.21666667,4.08875,,11.04166667,1.188333333,0.02875,0.000761905,2.920931394,7.305217391,18.2826087,,0.018529412,
SEPA East,TAY - PERTH (QUEENS BRIDGE)         ,2001,5.85,7.3945,85.36,4.462,,11.51684211,1.71,0.04895,0.009157895,3.135428268,7.3355,18.945,,0.035,
SEPA East,TAY - PERTH (QUEENS BRIDGE)         ,2002,10.46818182,7.268181818,71.40952381,2.831818182,,11.08055556,1.352380952,0.017409091,0.001636364,3.04202568,7.466363636,22.65909091,,0.004333333,
SEPA East,TAY - PERTH (QUEENS BRIDGE)         ,2003,11.31052632,7.241666667,72.155,1.820833333,,11.15555556,1.195833333,0.019583333,0.003425,2.297321206,7.15,22.22,,0.005166667,
SEPA East,TAY - PERTH (QUEENS BRIDGE)         ,2004,11.19130435,7.247826087,68.14782609,4.02173913,,11.00869565,1.459090909,0.019326087,0.002869565,2.445341378,6.676521739,21.13913043,,0.008043478,
SEPA East,TAY - PERTH (QUEENS BRIDGE)         ,2005,10.16086957,7.334782609,73.04347826,3.339130435,,11.01363636,1.082608696,0.0165,0.003456522,2.580123974,,20.40869565,,0.005608696,
SEPA East,TAY - PERTH (QUEENS BRIDGE)         ,2006,10.51818182,7.382608696,155.540625,3.320833333,,10.50130435,0.924782609,0.014145833,0.0028125,2.725047355,6.692916667,21.86666667,,0.004083333,
SEPA East,TAY - PERTH (QUEENS BRIDGE)         ,2007,9.875,7.370833333,71.176,3.032,,11.27916667,1.156,0.01354,0.0021,2.501079758,6.9604,19.90869565,,0.00425,
SEPA East,TAY - PERTH (QUEENS BRIDGE)         ,2008,9.579166667,7.316666667,69.65416667,3.225,,11.12173913,1.07625,0.014086957,0.003020833,2.111505748,6.62,19.27083333,,0.004833333,
SEPA East,TAY - PERTH (QUEENS BRIDGE)         ,2009,,7.279130435,81.56521739,3.991666667,,11.24285714,1.029166667,0.010270833,0.001729167,2.454720001,7.285833333,19.72173913,,0.005125,
SEPA East,TAY - PERTH (QUEENS BRIDGE)         ,2010,10.07272727,7.337619048,81.65454545,4.4875,,11.24545455,1.0325,0.011619048,0.00197619,2.623190222,7.487619048,22.12727273,,0.005157895,
SEPA East,TAY - PERTH (QUEENS BRIDGE)         ,2011,9.47826087,7.457083333,74.66666667,7.135104167,,11.16956522,0.723913043,0.010043478,0.003217391,2.417194571,7.407826087,20.46086957,,0.008568182,
SEPA East,TWEED - NORHAM                        ,1980,9.791666667,7.633333333,,8,,11.59166667,2.525,0.093333333,0.025,8.746427725,14.70833333,,,0.093333333,0.005
SEPA East,TWEED - NORHAM                        ,1981,9.708333333,7.933333333,,6.25,,12.04166667,2.308333333,0.095833333,0.011666667,7.639284975,14.95833333,,,0.09625,0.004625
SEPA East,TWEED - NORHAM                        ,1982,10.08333333,7.9,,8.083333333,,11.41666667,2.475,0.078333333,0.0175,7.214880254,13.29166667,,,0.07,0.005
SEPA East,TWEED - NORHAM                        ,1983,9.833333333,8.15,,11.33333333,,11.61666667,2.85,0.0725,0.0175,8.654165829,15.91666667,,,0.101666667,0.005
SEPA East,TWEED - NORHAM                        ,1984,10.70833333,8.125,,11.16666667,,11.73333333,2.675,0.101666667,0.021666667,8.543451554,18,,,0.117272727,0.005
SEPA East,TWEED - NORHAM                        ,1985,8.958333333,8.191666667,267.3333333,6.5,,11.71666667,1.991666667,0.093333333,0.02,10.04916569,17.04166667,,,0.095833333,0.005
SEPA East,TWEED - NORHAM                        ,1986,9.125,8.241666667,244.8333333,13.58333333,,11.46666667,2.016666667,0.1025,0.015666667,8.432737279,16.625,,,0.0525,0.005
SEPA East,TWEED - NORHAM                        ,1987,9.041666667,7.983333333,234.75,5.454545455,2,10.89166667,1.791666667,0.088333333,0.016666667,10.22261806,16.125,,,0.070833333,0.005
SEPA East,TWEED - NORHAM                        ,1988,10.875,7.75,223.25,6.333333333,,11.45454545,1.85,0.080833333,0.016666667,7.731546871,12.75,,,0.060833333,0.005
SEPA East,TWEED - NORHAM                        ,1989,11.41666667,8.283333333,226,6.333333333,,12.45833333,2.158333333,0.0625,0.015833333,5.701785163,13.91666667,,,0.06,0.005
SEPA East,TWEED - NORHAM                        ,1990,10.33333333,8.116666667,220.1666667,7.083333333,,10.84166667,2.525,0.07,0.012291667,5.683332783,15.25,,,0.06,0.01625
SEPA East,TWEED - NORHAM                        ,1991,9.875,7.975,245.0833333,8,,11.86666667,2.216666667,0.070833333,0.015416667,9.244641963,17.83333333,,,0.059090909,0.005
SEPA East,TWEED - NORHAM                        ,1992,10,7.875,207.5,5.25,,10.93333333,2.175,0.059166667,0.024166667,7.288689771,13.79166667,,,0.04,0.005
SEPA East,TWEED - NORHAM                        ,1993,9.333333333,7.9,226.3333333,3.8,,12.28333333,2.608333333,0.056666667,0.01275,8.266665867,15.875,,,0.0425,0.005
SEPA East,TWEED - NORHAM                        ,1994,9.958333333,8.016666667,223.4166667,2,,11.23333333,2.991666667,0.064166667,0.014166667,6.805237437,16.4,,,0.044166667,0.005
SEPA East,TWEED - NORHAM                        ,1995,10.75,7.991666667,229.6666667,2.75,,11.10833333,1.633333333,0.055833333,0.015,6.971308849,17.625,,,0.051666667,0.005
SEPA East,TWEED - NORHAM                        ,1996,10.33333333,8.05,237.9166667,10.66666667,,11.26666667,1.525,0.0475,0.01,8.757499153,18.36666667,,,0.046666667,0.005
SEPA East,TWEED - NORHAM                        ,1999,9.958333333,7.804166667,216.3500017,10.33333333,,10.55,1.763636364,0.074583333,0.010416667,7.923451614,17,69.75,,0.02625,
SEPA East,TWEED - NORHAM                        ,2000,10.5,7.6875,205.6333333,32.83333333,,10.3,1.725,0.022083333,0.005,8.672618208,17.08333333,64.16666667,,0.03375,
SEPA East,TWEED - NORHAM                        ,2001,9.305555556,8,243.65,8.255555556,,11.42777778,1.522222222,0.019333333,0.005307692,9.932546658,18.99444444,77.58461538,,0.037611111,
SEPA East,TWEED - NORHAM                        ,2002,10.73529412,8.052941176,203.1176471,7.417647059,,11.41470588,1.2875,0.026117647,0.006875,,15.55294118,76.03125,,0.021882353,
SEPA East,TWEED - NORHAM                        ,2003,11.65,8.277777778,209.1666667,6.166666667,,11.95625,1.511111111,0.022888889,0.012444444,,16.78888889,77.95555556,,0.022777778,
SEPA East,TWEED - NORHAM                        ,2004,10.80555556,7.927777778,178.5111111,8.082352941,,11.09411765,1.511111111,0.025555556,0.007305556,8.032646281,13.73055556,67.26666667,,0.022222222,
SEPA East,TWEED - NORHAM                        ,2005,11.77222222,8.255555556,205.1666667,14.77222222,,12.17058824,1.383333333,0.025611111,0.010277778,8.229326935,15.35,76.66111111,,0.022722222,
SEPA East,TWEED - NORHAM                        ,2006,11.05,8.211111111,206.8888889,4.1,,11.78333333,1.194117647,0.022333333,0.007333333,7.610991327,15.22611111,75.61176471,,0.019277778,
SEPA East,TWEED - NORHAM                        ,2007,10.25833333,8.051666667,200.4166667,6.108333333,,11.36666667,1.1075,0.01725,0.006375,8.465951562,14.05,74.86666667,,0.022833333,
SEPA East,TWEED - NORHAM                        ,2008,10.79166667,7.875,209.25,9.066666667,,10.85,1.223333333,0.023708333,0.006916667,7.983975418,15.11666667,74.2,,0.023666667,
SEPA East,TWEED - NORHAM                        ,2009,,8.076666667,229.9166667,14.48333333,,11.64545455,1.527272727,0.014083333,0.005,6.215868446,14.72583333,75.30833333,,0.016,
SEPA East,TWEED - NORHAM                        ,2010,9.641666667,8.070833333,214.9166667,16.41428571,,12.16363636,1.28,0.027958333,0.00825,8.310213482,15.86909091,74.10833333,,0.024583333,
SEPA East,TWEED - NORHAM                        ,2011,11.425,8.141666667,218.25,17.25,,11.78181818,,0.019454545,0.005909091,5.860207225,13.97909091,75.79166667,,0.014909091,
SEPA West,CLYDE - GLASGOW GREEN                 ,1980,9.291666667,7.383333333,393.0833333,30.08333333,,9.363636364,,0.973333333,0.118181818,8.212986218,42.45454545,81.58333333,,0.497083333,
SEPA West,CLYDE - GLASGOW GREEN                 ,1981,9.083333333,7.5,304.5,13.33333333,,8.833333333,,1.056666667,0.155,8.155951592,32.54166667,88.58333333,,0.5475,
SEPA West,CLYDE - GLASGOW GREEN                 ,1982,9.5,7.6,471.8181818,17.33333333,,8.2,4.133333333,1.535833333,0.216666667,8.137499213,52.58333333,97.25,,0.441818182,
SEPA West,CLYDE - GLASGOW GREEN                 ,1983,7.909090909,7.508333333,380.4166667,16.16666667,,8.433333333,3.291666667,1.5225,0.214166667,9.539880029,33.33333333,89.83333333,,0.444166667,
SEPA West,CLYDE - GLASGOW GREEN                 ,1984,7.8,7.506666667,413.3333333,10.8,,8.626666667,3.36,1.530666667,0.177333333,10.81752276,39.13333333,89.93333333,,0.497142857,
SEPA West,CLYDE - GLASGOW GREEN                 ,1985,9.90625,7.525,391.9375,10.8125,,9.10625,3.24375,1.23625,0.144375,9.549106219,39.75,83.1875,,0.319375,
SEPA West,CLYDE - GLASGOW GREEN                 ,1986,8.285714286,7.507142857,415,9.571428571,,9.135714286,3.969230769,1.521428571,0.149285714,9.473978675,43.08333333,83.78571429,,0.489285714,
SEPA West,CLYDE - GLASGOW GREEN                 ,1987,8.533333333,7.606666667,534.5,8.6,,9.7,3.485714286,1.217333333,0.149666667,8.119046833,87.8,86.46666667,,0.377307692,
SEPA West,CLYDE - GLASGOW GREEN                 ,1988,9.2,7.45,1664.133333,12.0625,,8.99375,3.17,0.66125,0.175,7.318213578,216.6153846,79.13333333,,0.33125,
SEPA West,CLYDE - GLASGOW GREEN                 ,1989,11.21875,7.5,488,11.25,,8.6125,3.24375,0.943125,0.17,9.435624087,98.375,90.5,,0.44625,
SEPA West,CLYDE - GLASGOW GREEN                 ,1990,7.2,7.466666667,299.3333333,16.69230769,,10,3.46,0.548333333,0.094,9.2999991,30.66666667,65.95,,0.411764706,
SEPA West,CLYDE - GLASGOW GREEN                 ,1991,8.9,7.491666667,391.8333333,11.27272727,,8.991666667,4.32,0.6825,0.210833333,10.42190375,52.57142857,86.16666667,,0.43925,
SEPA West,CLYDE - GLASGOW GREEN                 ,1992,9.375,7.375,301.0833333,14.47619048,,9.891666667,4.5,0.469166667,0.162916667,7.635594499,54.55555556,99.25,,0.431590909,
SEPA West,CLYDE - GLASGOW GREEN                 ,1993,6.666666667,7.533333333,258.8333333,16.17647059,,9.591666667,3.891666667,0.900833333,0.100833333,6.307023199,28.25,79.83333333,,0.316333333,
SEPA West,CLYDE - GLASGOW GREEN                 ,1994,9.227272727,7.416666667,338.1666667,7.285714286,,8.372727273,4.372727273,1.124545455,0.150909091,7.597012252,44.45454545,84.75,2.9,0.635714286,
SEPA West,CLYDE - GLASGOW GREEN                 ,1995,10.42941176,7.508,790.12,19.88571429,,8.425,2.914285714,1.506,0.1724,6.486970801,144.892,88.776,,0.640939394,
SEPA West,CLYDE - GLASGOW GREEN                 ,1996,11,7.477777778,499.0555556,33.78947368,,8.464285714,3.915789474,1.403684211,0.130526316,8.638044277,88.72222222,83.61111111,,0.586894737,
SEPA West,CLYDE - GLASGOW GREEN                 ,1997,14.375,7.695833333,429.9583333,6.022727273,,8.026666667,2.091176471,0.8672,0.1264,8.334570622,48.29166667,89.54166667,,0.559892857,
SEPA West,CLYDE - GLASGOW GREEN                 ,1998,9.470588235,7.227272727,316.7272727,9.176470588,,9.558333333,2.45,0.656545455,0.088,9.105141976,31.1,80.8,,0.3995625,
SEPA West,CLYDE - GLASGOW GREEN                 ,1999,,7.578571429,330.5,35,,,1.65,0.727142857,0.093181818,9.277856245,88,101.5,,0.414157895,
SEPA West,CLYDE - GLASGOW GREEN                 ,2000,10.66153846,7.5395,345.2631579,11.05,,9.761538462,2.3465,0.506363636,0.087619048,7.741563877,38.72857143,76.94736842,,0.448421053,
SEPA West,CLYDE - GLASGOW GREEN                 ,2001,9.928571429,7.495652174,368.8571429,25.16,,9.657142857,3.072727273,0.7248,0.095238095,8.05367269,40.02380952,78.2325,,0.51376,
SEPA West,CLYDE - GLASGOW GREEN                 ,2002,10.35294118,7.579583333,372.4166667,15.6875,,9.93125,2.533333333,0.513333333,0.065416667,7.565475458,56.125,76.16933333,,0.3105,
SEPA West,CLYDE - GLASGOW GREEN                 ,2003,10.625,7.66375,529.5416667,8.25,,8.754166667,2.4,0.76375,0.102916667,9.240951487,80.1875,94.99,1.875,0.434416667,
SEPA West,CLYDE - GLASGOW GREEN                 ,2004,10.90909091,7.719090909,415.1363636,13.04761905,,8.85,2.4,0.674090909,0.080227273,7.868765472,55.24636364,83.07363636,,0.345713636,
SEPA West,CLYDE - GLASGOW GREEN                 ,2005,10.13636364,7.563636364,396.3636364,14.59090909,,9.536363636,2.757142857,0.608863636,0.065863636,8.643765397,46.95454545,89.37727273,,0.290545455,
SEPA West,CLYDE - GLASGOW GREEN                 ,2006,11.56,7.616153846,386.2692308,12.72692308,,9.04,2.302,0.414962963,0.087615385,10.29114736,47.96296296,84.82307692,,0.265148148,
SEPA West,CLYDE - GLASGOW GREEN                 ,2007,11.41666667,7.621666667,369.25,5.458333333,,9.809090909,2.308333333,0.328666667,0.0591,11.18657035,38.58333333,88.08333333,,0.272333333,
SEPA West,CLYDE - GLASGOW GREEN                 ,2008,10.33333333,7.5875,314.25,18.1,,9.891666667,2.166666667,0.408583333,0.063666667,7.448118327,35.125,77.00833333,,0.266416667,
SEPA West,CLYDE - GLASGOW GREEN                 ,2009,,7.673333333,318.5833333,11.40833333,,10.14166667,1.883333333,0.32175,0.046416667,8.575189646,32.1,79.33333333,,0.265416667,
SEPA West,CLYDE - GLASGOW GREEN                 ,2010,10.58333333,7.675,360.5,28.4125,,9.975,2.325,0.4665,0.083,9.735475248,41.275,81.36666667,,0.267272727,
SEPA West,CLYDE - GLASGOW GREEN                 ,2011,10.41666667,7.595,312.3333333,8.3625,,10.2,,0.243083333,0.0355,7.394606427,32.85833333,69.80833333,,0.128545455,
SEPA West,DEE - GLENLOCHAR GAUGING STATION    ,1980,9.96,6.733333333,46.07142857,1.966666667,,10.4,,0.028666667,0.006666667,1.275428448,8.357142857,6.4,,0.007566667,
SEPA West,DEE - GLENLOCHAR GAUGING STATION    ,1981,10.11333333,6.853846154,43.33333333,2.5,,10.78,,0.039666667,0.007,0.980190381,8.673333333,6.733333333,,0.005633333,
SEPA West,DEE - GLENLOCHAR GAUGING STATION    ,1982,10.52,6.666666667,45.06666667,3.133333333,,10.99333333,1.76875,0.054666667,0.006666667,0.950666575,8.346666667,6,,0.0102,
SEPA West,DEE - GLENLOCHAR GAUGING STATION    ,1983,9.666666667,6.708333333,56.75,3.125,,11.08181818,2.125,0.0525,0.005,0.789761828,11.65,5,,0.007708333,
SEPA West,DEE - GLENLOCHAR GAUGING STATION    ,1984,11.16666667,6.675,67.91666667,2.25,,11.25833333,1.766666667,0.051666667,0.005416667,1.819404586,12.8,4.8,,0.009666667,
SEPA West,DEE - GLENLOCHAR GAUGING STATION    ,1985,9.541666667,6.625,67.27272727,2.636363636,,11.13333333,1.772727273,0.071666667,0.006666667,1.694934901,9.116666667,7.227272727,,0.006125,
SEPA West,DEE - GLENLOCHAR GAUGING STATION    ,1986,10.22727273,6.625,61,4,,11.60833333,2.241666667,0.055833333,0.0075,1.811688136,10.80833333,5.675,,0.009958333,
SEPA West,DEE - GLENLOCHAR GAUGING STATION    ,1987,9.583333333,6.733333333,49.36363636,4.916666667,,10.99166667,1.927272727,0.0525,0.006666667,1.391309389,6.633333333,5.416666667,,0.007833333,
SEPA West,DEE - GLENLOCHAR GAUGING STATION    ,1988,10.36363636,6.872727273,58.81818182,8.909090909,,10.32727273,1.97,0.048181818,0.005,1.421168694,7.336363636,6.781818182,,0.031181818,
SEPA West,DEE - GLENLOCHAR GAUGING STATION    ,1989,10.16666667,6.725,57.41666667,1.666666667,,11.51666667,1.883333333,0.045833333,0.0075,1.268181695,10.39166667,5.516666667,,0.00725,
SEPA West,DEE - GLENLOCHAR GAUGING STATION    ,1990,10.5,6.591666667,55.66666667,1.9875,,11.09,1.733333333,0.053125,0.015,1.287976066,10.64166667,7,,0.00740625,
SEPA West,DEE - GLENLOCHAR GAUGING STATION    ,1991,10.53846154,6.623076923,57.07692308,2.538461538,,11.16666667,2.184615385,0.053076923,0.01,1.553406443,9.715384615,8,,0.006769231,
SEPA West,DEE - GLENLOCHAR GAUGING STATION    ,1992,9.958333333,6.75,53.36363636,2.166666667,,10.23333333,2.233333333,0.047083333,0.00875,1.225237977,8.108333333,18,,0.007958333,
SEPA West,DEE - GLENLOCHAR GAUGING STATION    ,1993,10.04545455,6.85,57.41666667,1.583333333,,10.4,1.725,0.05625,0.006,0.882023724,8.583333333,,,0.00375,
SEPA West,DEE - GLENLOCHAR GAUGING STATION    ,1994,7.857142857,6.758333333,56.66666667,2.833333333,,10.25833333,2.091666667,0.13,0.007363636,0.989047523,8.508333333,5.2,,0.009083333,
SEPA West,DEE - GLENLOCHAR GAUGING STATION    ,1995,10.91666667,6.666666667,54.16666667,2.083333333,,9.808333333,1.533333333,0.039166667,0.005416667,1.206785598,7.941666667,,,0.005083333,
SEPA West,DEE - GLENLOCHAR GAUGING STATION    ,1996,9.291666667,6.733333333,57.66666667,1.333333333,,10.98333333,1.841666667,0.039166667,0.006666667,1.871071248,7.033333333,,,0.00425,
SEPA West,DEE - GLENLOCHAR GAUGING STATION    ,1997,9.8,6.72,57.9,1.5,,10.58,1.44,0.04,0.0075,1.288714161,8.6,,,0.0045,
SEPA West,DEE - GLENLOCHAR GAUGING STATION    ,1998,8.5,6.636363636,52.09090909,1.318181818,,10.13636364,1.836363636,0.047272727,0.021818182,2.463895865,6.727272727,,,0.005272727,
SEPA West,DEE - GLENLOCHAR GAUGING STATION    ,1999,,,,2,,,,0.048,0.015,,17.52,,,0.003,
SEPA West,DEE - GLENLOCHAR GAUGING STATION    ,2000,11.93333333,6.588333333,56.44444444,2.941176471,,10.28,1.463636364,0.024615385,0.005,2.289571207,9.649,8.381,,0.003266667,
SEPA West,DEE - GLENLOCHAR GAUGING STATION    ,2001,10.26666667,6.500769231,50.09090909,2.3125,,10.95,1.8,0.02875,0.005,1.254761783,7.946923077,6.658181818,,0.0040625,
SEPA West,DEE - GLENLOCHAR GAUGING STATION    ,2002,9.366666667,6.560555556,53.83333333,2.883333333,,10.81666667,1.425,0.035,0.005277778,1.331031617,8.770555556,5.828333333,,0.009472222,
SEPA West,DEE - GLENLOCHAR GAUGING STATION    ,2003,13.28,6.727777778,53.44444444,1.888888889,,9.822222222,1.219444444,0.026666667,0.005277778,0.816825318,9.645555556,7.497777778,,0.004470588,
SEPA West,DEE - GLENLOCHAR GAUGING STATION    ,2004,11.97857143,7.114666667,53.8,2.4,,10.73333333,1.273333333,0.03,0.006333333,1.130761795,8.818666667,5.935333333,,0.00805,
SEPA West,DEE - GLENLOCHAR GAUGING STATION    ,2005,9.430769231,6.5,57.46153846,1.215384615,,11.12307692,1.211538462,0.022076923,0.005461538,1.161648239,9.969230769,6.930769231,,0.005653846,
SEPA West,DEE - GLENLOCHAR GAUGING STATION    ,2006,12.64285714,6.73625,55.125,3.5,,10.74285714,1.28125,0.024625,0.005,1.69503555,8.915,8.71375,,0.0015,
SEPA West,DEE - GLENLOCHAR GAUGING STATION    ,2007,11.125,6.575,55.36666667,3.3,,10.6,1.0875,0.02,0.005,1.201028455,9.648333333,6.901666667,,0.003208333,
SEPA West,DEE - GLENLOCHAR GAUGING STATION    ,2008,11.13636364,6.567272727,57.36363636,2.790909091,,9.99,0.954545455,0.035363636,0.006545455,0.879272642,11.38636364,5.897272727,,0.023772727,
SEPA West,DEE - GLENLOCHAR GAUGING STATION    ,2009,,6.719,49.8,3.64,,10.66666667,0.915,0.02,0.005,0.821499921,7.778,6.589,,0.0083,
SEPA West,DEE - GLENLOCHAR GAUGING STATION    ,2010,11.96666667,6.730833333,47.54166667,4.35,,10.75454545,1.375,0.026888889,0.004555556,1.021031647,6.632222222,6.165454545,,0.0125,
SEPA West,DEE - GLENLOCHAR GAUGING STATION    ,2011,7.571428571,6.754285714,37.17142857,2.5,,11.42857143,,0.021625,0.0048125,1.068392754,6.4325,4.924285714,,0.0068,
,,,,,,,,,,,,,,,,,
Table nomenclature,Full name of determinand,Units,,,,,,,,,,,,,,,
Temp,Temperature,°C,,,,,,,,,,,,,,,
pH,pH,pH Units,,,,,,,,,,,,,,,
Cond,Conductivity,µs/cm,,,,,,,,,,,,,,,
SS,Suspended Solids,mg/l,,,,,,,,,,,,,,,
DO,Dissolved Oxygen (instantaneous),mg/l,,,,,,,,,,,,,,,
BOD,Biological Oxygen Demand (inhibited),mg/l,,,,,,,,,,,,,,,
Amm,Ammoniacal Nitrogen,mg/l,,,,,,,,,,,,,,,
Nitrite,Nitrite,mg/l,,,,,,,,,,,,,,,
Nitrate,Nitrate,mg/l,,,,,,,,,,,,,,,
Chloride,Chloride,mg/l,,,,,,,,,,,,,,,
Alkaline,Total Alkalinity,mg/l,,,,,,,,,,,,,,,
Orthop,Orthophosphate,mg/l,,,,,,,,,,,,,,,
AnDet,Anionic Detergent as Manoxol OT,mg/l,,,,,,,,,,,,,,,
Ash,Ash (from Suspended Solids),mg/l,,,,,,,,,,,,,,,
Chloroph,Chlorophyll,µg/l,,,,,,,,,,,,,,,
